start,end,label,Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz,original_start,original_end
0 days 00:00:00,0 days 00:00:00.200000,answer1,0.7730405,-26.993803,37.341385,-0.02042901,-0.0044088257,0.008445971,6.607126,3.0508296,9.96249,-5.230675,0.0,0.0,0.0,0.0,0.0,0.0,492.5349,1410.648,-201.0,1490.3832,1212.6659,-201.0,2490.5251,1000.8835,-201.0,0 days 00:00:16.100100100,0 days 00:00:16.300100100
0 days 00:00:00.010000,0 days 00:00:00.210000,answer1,0.7823288,-26.875471,37.235844,-0.020966662,-0.0041892845,0.016992297,6.971209,3.3583825,10.614245,-4.778353,0.0,0.0,0.0,0.0,0.0,0.0,509.1312,1477.6416,-201.0,1503.7397,1296.8989,-201.0,2495.2244,1092.6132,-201.0,0 days 00:00:16.110100100,0 days 00:00:16.310100100
0 days 00:00:00.020000,0 days 00:00:00.220000,answer1,0.79627776,-26.699923,37.058655,-0.021677485,-0.0038697154,0.026542425,7.5027447,3.9044993,11.642261,-4.1731186,0.0,0.0,0.0,0.0,0.0,0.0,523.3652,1471.8975,-201.0,1514.1162,1315.1359,-201.0,2499.4863,1139.1783,-201.0,0 days 00:00:16.120100100,0 days 00:00:16.320100100
0 days 00:00:00.030000,0 days 00:00:00.230000,answer1,0.80995256,-26.533829,36.86027,-0.021525865,-0.0036437558,0.026398597,8.0097065,4.6140766,12.733439,-3.6958187,0.0,0.0,0.0,0.0,0.0,0.0,532.451,1539.8184,-201.0,1496.3888,1393.2357,-201.0,2460.8577,1196.3353,-201.0,0 days 00:00:16.130100100,0 days 00:00:16.330100100
0 days 00:00:00.040000,0 days 00:00:00.240000,answer1,0.82151705,-26.398794,36.649982,-0.021452343,-0.003424571,0.026874812,8.42637,5.3680606,13.712842,-3.3991337,0.0,0.0,0.0,0.0,0.0,0.0,526.7516,1581.9775,-201.0,1541.1417,1427.0977,-201.0,2454.0066,1307.9203,-201.0,0 days 00:00:16.140100100,0 days 00:00:16.340100100
0 days 00:00:00.050000,0 days 00:00:00.250000,answer1,0.8297135,-26.313856,36.45412,-0.020790301,-0.0034209655,0.024809191,8.755994,6.1141763,14.505984,-3.2407544,0.0,0.0,0.0,0.0,0.0,0.0,508.99838,1612.5619,-201.0,1542.6611,1435.3784,-201.0,2425.1523,1318.0067,-201.0,0 days 00:00:16.150100100,0 days 00:00:16.350100100
0 days 00:00:00.060000,0 days 00:00:00.260000,answer1,0.83332825,-26.292185,36.2971,-0.021218726,-0.00336831,0.025019264,8.983018,6.7636867,15.035545,-3.2181332,0.0,0.0,0.0,0.0,0.0,0.0,489.3276,1576.811,-201.0,1563.7666,1388.1449,-201.0,2426.5417,1290.2594,-201.0,0 days 00:00:16.160100100,0 days 00:00:16.360100100
0 days 00:00:00.070000,0 days 00:00:00.270000,answer1,0.8319952,-26.33667,36.18913,-0.021086028,-0.0033915676,0.024162369,9.113155,7.274748,15.314762,-3.2752247,0.0,0.0,0.0,0.0,0.0,0.0,458.95615,1524.3242,-201.0,1502.0961,1279.1045,-201.0,2407.114,1119.4769,-201.0,0 days 00:00:16.170100100,0 days 00:00:16.370100100
0 days 00:00:00.080000,0 days 00:00:00.280000,answer1,0.82593584,-26.438044,36.13989,-0.02230815,-0.0034559856,0.025456324,9.134353,7.5814347,15.332166,-3.402528,0.0,0.0,0.0,0.0,0.0,0.0,448.48984,1603.1338,-201.0,1476.2753,1329.2883,-201.0,2395.8293,1114.4556,-201.0,0 days 00:00:16.180100100,0 days 00:00:16.380100100
0 days 00:00:00.090000,0 days 00:00:00.290000,answer1,0.8158228,-26.582224,36.146893,-0.023426577,-0.003464708,0.025416983,9.032586,7.652874,15.165574,-3.5301187,0.0,0.0,0.0,0.0,0.0,0.0,446.50378,1628.0005,-201.0,1451.2217,1338.6334,-201.0,2398.722,1078.4216,-201.0,0 days 00:00:16.190100100,0 days 00:00:16.390100100
0 days 00:00:00.100000,0 days 00:00:00.300000,answer1,0.8044672,-26.728653,36.174374,-0.0249212,-0.0037016415,0.024632106,8.822079,7.428331,14.825757,-3.6456559,0.0,0.0,0.0,0.0,0.0,0.0,446.98935,1619.5402,-201.0,1418.9835,1333.9224,-201.0,2385.1152,999.89703,-201.0,0 days 00:00:16.200100100,0 days 00:00:16.400100100
0 days 00:00:00.110000,0 days 00:00:00.310000,answer1,0.79472667,-26.842346,36.2107,-0.027016811,-0.0039215595,0.025324857,8.556844,6.9249,14.375997,-3.77588,0.0,0.0,0.0,0.0,0.0,0.0,447.30347,1544.127,-201.0,1390.3848,1253.399,-201.0,2392.7505,869.94745,-201.0,0 days 00:00:16.210100100,0 days 00:00:16.410100100
0 days 00:00:00.120000,0 days 00:00:00.320000,answer1,0.79245216,-26.856607,36.234222,-0.0282076,-0.004631675,0.026681252,8.375863,6.1641045,13.769929,-4.053902,0.0,0.0,0.0,0.0,0.0,0.0,448.20105,1573.7871,-201.0,1375.3203,1261.836,-201.0,2403.904,839.3995,-201.0,0 days 00:00:16.220100100,0 days 00:00:16.420100100
0 days 00:00:00.130000,0 days 00:00:00.330000,answer1,0.80211717,-26.732231,36.242302,-0.02965158,-0.0055582025,0.031050215,8.436898,5.306523,13.056847,-4.65307,0.0,0.0,0.0,0.0,0.0,0.0,455.24927,1540.2587,-201.0,1380.3629,1250.5184,-201.0,2413.7358,825.55316,-201.0,0 days 00:00:16.230100100,0 days 00:00:16.430100100
