start,end,label,Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz,original_start,original_end
0 days 00:00:00,0 days 00:00:00.200000,answer1,7.039818,-4.370901,21.732023,0.040148456,0.0008469477,0.30579826,23.864084,-14.3169775,-2.6639583,-14.860344,33.18777,0.0,1.0718687,3.9559004,-1.5985451,25.051535,914.93134,1455.4976,-11.109272,1743.229,1135.5342,-19.270494,2781.408,581.87823,-37.033688,0 days 00:00:04.066733400,0 days 00:00:04.266733400
0 days 00:00:00.010000,0 days 00:00:00.210000,answer1,7.629051,-4.0830555,19.361036,0.04082627,0.0005069088,0.62946707,23.339325,-15.607011,-2.2944908,-14.576763,33.291985,0.024155255,1.4397968,5.3124356,-2.1850927,25.494349,902.86615,1421.6385,-11.101893,1720.9476,1114.819,-17.168747,2752.907,599.29047,-37.116207,0 days 00:00:04.076733400,0 days 00:00:04.276733400
0 days 00:00:00.020000,0 days 00:00:00.220000,answer1,8.559901,-3.6836746,16.465021,0.045114845,-3.0058281e-05,0.97979814,22.637238,-17.572336,-1.5980428,-14.120557,33.43568,0.02168326,1.5086265,6.92164,-3.1373227,25.30562,772.3748,1372.5446,-9.772992,1635.5742,1118.3809,-15.161647,2710.4907,784.8675,-36.643387,0 days 00:00:04.086733400,0 days 00:00:04.286733400
0 days 00:00:00.030000,0 days 00:00:00.230000,answer1,9.211589,-3.4508164,14.630142,0.049129825,-0.000355857,1.024331,22.248056,-18.892174,-1.0678264,-13.797222,33.52103,0.015690744,0.5677037,7.6656055,-3.9050837,24.695745,623.3621,1263.804,-8.453803,1524.4645,1096.1328,-13.46223,2655.6482,989.116,-36.0226,0 days 00:00:04.096733400,0 days 00:00:04.296733400
0 days 00:00:00.030000,0 days 00:00:00.233582766,answer1,9.5532055,-3.3392804,14.105115,0.052740593,-0.00055278523,1.0509931,22.070734,-19.567463,-0.7408459,-13.624597,33.560513,0.01673927,0.2686054,7.9182744,-4.2707663,24.064203,504.93604,1248.5691,-7.132281,1461.3727,1120.4098,-13.556874,2641.733,1157.2809,-35.46725,0 days 00:00:04.096733400,0 days 00:00:04.300316166
0 days 00:00:00,0 days 00:00:00.200000,answer2,5.211577,-9.032466,32.677628,0.05669737,-0.0061557326,0.19530793,36.61172,-14.145744,-3.0597217,-4.840721,36.996662,0.0,0.0,-1.3026813,-2.8914938,14.70547,866.9998,1040.6267,3.3270683,1745.7399,852.8571,-7.7692895,2734.468,688.4175,-14.269895,0 days 00:00:07.467133800,0 days 00:00:07.667133800
0 days 00:00:00.010000,0 days 00:00:00.210000,answer2,5.355829,-9.327939,33.18204,0.05328868,-0.00569983,0.37931728,36.985546,-13.941003,-2.7675602,-5.792928,37.650536,0.0,0.0,-0.3212029,-3.0744755,15.1242895,884.6187,1074.8195,1.6948004,1756.7363,918.56305,-7.368669,2774.5303,793.0112,-18.233381,0 days 00:00:07.477133800,0 days 00:00:07.677133800
0 days 00:00:00.020000,0 days 00:00:00.220000,answer2,5.5632286,-9.664239,33.831844,0.048403233,-0.004894896,0.55793023,37.406082,-13.571933,-2.6299212,-7.0310693,38.301815,0.0008061976,0.6311409,1.5700693,-3.208827,17.361189,923.58905,1149.1835,0.38349828,1767.3636,1076.5283,-8.421996,2844.6687,955.966,-23.7363,0 days 00:00:07.487133800,0 days 00:00:07.687133800
0 days 00:00:00.030000,0 days 00:00:00.230000,answer2,5.7468567,-9.82054,34.06748,0.043817688,-0.0040139374,0.53309464,37.572628,-13.084912,-3.0353553,-7.905554,38.962498,0.0008061976,0.6311409,4.756018,-4.102875,18.9159,953.489,1209.7474,0.3229308,1780.4955,1194.3978,-8.903514,2899.259,1082.0743,-27.35863,0 days 00:00:07.497133800,0 days 00:00:07.697133800
0 days 00:00:00.040000,0 days 00:00:00.240000,answer2,5.8905435,-9.893737,33.87939,0.04028484,-0.0032206364,0.51120716,37.539886,-12.452926,-3.8727973,-8.42479,38.9825,0.021454314,0.8214166,5.629537,-4.860883,19.938711,955.0342,1254.5494,-1.4095424,1775.8751,1239.7264,-12.015557,2882.4192,1143.6758,-29.352432,0 days 00:00:07.507133800,0 days 00:00:07.707133800
