start,end,label,Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz,original_start,original_end
0 days 00:00:00,0 days 00:00:00.040000,answer1,0.21793236,-28.02712,36.17508,-0.04828797,-0.0069469586,0.0070692226,7.3409066,6.349871,9.633767,-7.799568,0.0,0.0,0.0,0.0,0.0,0.0,430.4905,1679.7612,-201.0,1383.348,1322.1058,-201.0,2408.7166,872.07794,-201.0,0 days 00:00:16.116116116,0 days 00:00:16.156116116
0 days 00:00:00.010000,0 days 00:00:00.050000,answer1,0.22221231,-27.954187,37.6725,-0.05170579,-0.0069494075,0.0137838125,7.5566373,6.731829,10.861046,-7.0198135,0.0,0.0,0.0,0.0,0.0,0.0,447.6963,1703.1919,-201.0,1422.6031,1396.835,-201.0,2436.737,917.71747,-201.0,0 days 00:00:16.126116116,0 days 00:00:16.166116116
0 days 00:00:00.020000,0 days 00:00:00.060000,answer1,0.2232206,-27.919127,38.610504,-0.057009246,-0.0064531327,0.021030575,6.995758,6.4996276,12.465079,-5.634602,0.0,0.0,0.0,0.0,0.0,0.0,455.38623,1675.1749,-201.0,1461.5713,1351.2148,-201.0,2487.5686,920.0307,-201.0,0 days 00:00:16.136116116,0 days 00:00:16.176116116
0 days 00:00:00.030000,0 days 00:00:00.070000,answer1,0.21784334,-28.134665,38.56754,-0.06185277,-0.0080860695,0.021311022,5.429043,5.515676,12.907535,-5.4509335,0.0,0.0,0.0,0.0,0.0,0.0,459.84775,1496.2379,-201.0,1499.3003,1159.128,-201.0,2515.7483,864.1607,-201.0,0 days 00:00:16.146116116,0 days 00:00:16.186116116
0 days 00:00:00.040000,0 days 00:00:00.080000,answer1,0.21117528,-28.465454,38.25095,-0.06586953,-0.008381294,0.02218688,4.386627,4.20431,11.037097,-6.4552455,0.0,0.0,0.0,0.0,0.0,0.0,456.38156,1521.1029,-201.0,1466.9277,1171.0197,-201.0,2496.0657,850.00165,-201.0,0 days 00:00:16.156116116,0 days 00:00:16.196116116
0 days 00:00:00.050000,0 days 00:00:00.090000,answer1,0.21238665,-28.382347,38.82626,-0.06179458,-0.007046783,0.02287966,4.4549747,3.0645845,7.8170643,-8.167477,0.0,0.0,0.0,0.0,0.0,0.0,464.39685,1645.9541,-201.0,1408.9663,1304.9166,-201.0,2471.894,866.3475,-201.0,0 days 00:00:16.166116116,0 days 00:00:16.206116116
0 days 00:00:00.060000,0 days 00:00:00.100000,answer1,0.22121336,-27.953987,39.087933,-0.061461616,-0.0051735607,0.02150394,5.1413846,1.6062931,5.4847198,-8.079549,0.0,0.0,0.0,0.0,0.0,0.0,479.2949,1654.374,-201.0,1386.933,1359.1493,-201.0,2473.3958,849.7798,-201.0,0 days 00:00:16.176116116,0 days 00:00:16.216116116
0 days 00:00:00.070000,0 days 00:00:00.110000,answer1,0.22970228,-27.482086,39.079685,-0.061656117,-0.0032914814,0.023174247,5.7410464,0.4944392,6.5171456,-5.585815,0.0,0.0,0.0,0.0,0.0,0.0,492.31433,1576.2012,-201.0,1438.3721,1259.2393,-201.0,2540.329,931.3713,-201.0,0 days 00:00:16.186116116,0 days 00:00:16.226116116
0 days 00:00:00.080000,0 days 00:00:00.120000,answer1,0.23011212,-27.484888,38.52496,-0.064387,-0.0020605188,0.023131818,6.279831,0.42791295,9.056514,-3.2119875,0.0,0.0,0.0,0.0,0.0,0.0,489.2269,1507.4816,-201.0,1483.2711,1164.5358,-201.0,2592.1277,958.9033,-201.0,0 days 00:00:16.196116116,0 days 00:00:16.236116116
0 days 00:00:00.090000,0 days 00:00:00.130000,answer1,0.22728045,-27.435606,37.71515,-0.05618176,0.0014575766,0.02932247,6.579145,1.8036436,11.42442,-1.7124099,0.0,0.0,0.0,0.0,0.0,0.0,696.91797,1522.4375,-201.0,1738.4525,1226.351,-201.0,2898.3372,1818.0107,-201.0,0 days 00:00:16.206116116,0 days 00:00:16.246116116
0 days 00:00:00.100000,0 days 00:00:00.140000,answer1,0.231169,-27.165686,37.19593,-0.04624943,0.002052718,0.029273937,7.378428,3.466381,13.256923,-0.4890975,0.0,0.0,0.0,0.0,0.0,0.0,599.83844,1819.3539,-201.0,1746.9459,1348.717,-201.0,2734.711,2077.8064,-201.0,0 days 00:00:16.216116116,0 days 00:00:16.256116116
0 days 00:00:00.110000,0 days 00:00:00.150000,answer1,0.2448883,-26.719915,36.914295,-0.041073088,0.00077327824,0.03466861,8.43538,5.3222365,15.74656,-0.09044572,0.0,0.0,0.0,0.0,0.0,0.0,566.7852,1861.878,-201.0,1769.2886,1359.1046,-201.0,2658.3633,2142.0254,-201.0,0 days 00:00:16.226116116,0 days 00:00:16.266116116
0 days 00:00:00.120000,0 days 00:00:00.160000,answer1,0.25867644,-26.277435,36.52695,-0.04252113,-0.0014103586,0.03255054,9.372623,7.57563,17.940855,-1.4643563,0.0,0.0,0.0,0.0,0.0,0.0,323.46695,1896.7494,-201.0,1513.4805,1260.0039,-201.0,2362.5208,1239.4951,-201.0,0 days 00:00:16.236116116,0 days 00:00:16.276116116
0 days 00:00:00.130000,0 days 00:00:00.170000,answer1,0.2619131,-26.166273,35.7041,-0.0409428,-0.002280403,0.037104085,9.538161,9.164602,18.034492,-3.9303744,0.0,0.0,0.0,0.0,0.0,0.0,372.01492,1663.3218,-201.0,1444.3925,1139.3468,-201.0,2444.4802,853.7194,-201.0,0 days 00:00:16.246116116,0 days 00:00:16.286116116
0 days 00:00:00.140000,0 days 00:00:00.180000,answer1,0.2560517,-26.496819,35.161625,-0.043126702,-0.0027863362,0.04108606,9.8639765,9.861743,16.430876,-4.114857,0.0,0.0,0.0,0.0,0.0,0.0,382.5504,1621.104,-201.0,1401.2291,1160.1146,-201.0,2413.1672,778.71844,-201.0,0 days 00:00:16.256116116,0 days 00:00:16.296116116
0 days 00:00:00.150000,0 days 00:00:00.190000,answer1,0.24526815,-27.213755,35.6299,-0.047087867,-0.0015732168,0.04240219,10.027594,9.15678,14.207021,-3.465888,0.0,0.0,0.0,0.0,0.0,0.0,398.11328,1660.0685,-201.0,1391.6476,1227.5215,-201.0,2412.9832,857.84796,-201.0,0 days 00:00:16.266116116,0 days 00:00:16.306116116
0 days 00:00:00.160000,0 days 00:00:00.200000,answer1,0.23435879,-27.724722,36.17832,-0.058849107,-0.0013847472,0.03865872,9.448804,8.282653,13.441185,-3.187885,0.0,0.0,0.0,0.0,0.0,0.0,416.2257,1662.1998,-201.0,1381.4916,1245.4517,-201.0,2433.697,798.4859,-201.0,0 days 00:00:16.276116116,0 days 00:00:16.316116116
0 days 00:00:00.170000,0 days 00:00:00.210000,answer1,0.22338928,-28.070585,37.038128,-0.06994731,-0.0004232612,0.03253926,7.834842,7.040745,12.880633,-2.8452091,0.0,0.0,0.0,0.0,0.0,0.0,413.1879,1668.9489,-201.0,1351.1681,1209.0498,-201.0,2454.5864,684.93243,-201.0,0 days 00:00:16.286116116,0 days 00:00:16.326116116
