start,end,label,Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz,original_start,original_end,filename
0 days 00:00:00,0 days 00:00:00.020000,answer1,0.14402412,-27.708822,34.856953,-0.08282111,-0.012669156,0.005333236,9.839999,10.61111,16.140955,-0.6808738,0.0,0.0,0.0,0.0,0.0,0.0,923.20624,1485.0566,-201.0,2033.0345,1066.4003,-201.0,3185.2812,528.42334,-201.0,0 days 00:00:16.116116116,0 days 00:00:16.136116116,ID30_20ms.csv
0 days 00:00:00.020000,0 days 00:00:00.040000,answer1,0.14474092,-27.875826,36.593822,-0.091301806,-0.007961116,0.016569404,10.552476,11.5286,16.695353,0.73222405,0.0,0.0,0.0,0.0,0.0,0.0,851.8911,1598.6549,-201.0,1952.1295,1430.0067,-201.0,2837.451,2082.9094,-201.0,0 days 00:00:16.136116116,0 days 00:00:16.156116116,ID30_20ms.csv
0 days 00:00:00.040000,0 days 00:00:00.060000,answer1,0.14131498,-28.09703,37.899612,-0.105386645,-0.005893177,0.016856397,7.888207,10.150009,20.729265,3.87057,0.0,0.0,0.0,0.0,0.0,0.0,915.9016,1715.4164,-201.0,2069.3489,1430.6387,-201.0,2887.8867,1009.908,-201.0,0 days 00:00:16.156116116,0 days 00:00:16.176116116,ID30_20ms.csv
0 days 00:00:00.060000,0 days 00:00:00.080000,answer1,0.13633981,-28.558233,38.47086,-0.09894848,-0.007021222,0.021464968,7.2753253,8.363654,14.842637,0.308026,0.0,0.0,0.0,0.0,0.0,0.0,855.2343,1636.2719,-201.0,2069.1313,1369.7069,-201.0,2907.1292,1019.4777,-201.0,0 days 00:00:16.176116116,0 days 00:00:16.196116116,ID30_20ms.csv
0 days 00:00:00.080000,0 days 00:00:00.100000,answer1,0.15233277,-27.106,38.07138,-0.10793906,-0.0012915721,0.023011066,8.956749,5.337122,13.741382,3.9842834,0.0,0.0,0.0,0.0,0.0,0.0,845.80524,1536.961,-201.0,1888.5072,1421.0734,-201.0,2767.7312,1321.2655,-201.0,0 days 00:00:16.196116116,0 days 00:00:16.216116116,ID30_20ms.csv
0 days 00:00:00.100000,0 days 00:00:00.120000,answer1,0.14722347,-27.411774,37.154892,-0.09609422,0.0012529084,0.026580987,9.3344145,6.229004,17.793476,5.5558066,0.0,0.0,0.0,0.0,0.0,0.0,778.9409,1757.8766,-201.0,1860.2523,1275.0498,-201.0,3099.5305,984.16205,-201.0,0 days 00:00:16.216116116,0 days 00:00:16.236116116,ID30_20ms.csv
0 days 00:00:00.120000,0 days 00:00:00.140000,answer1,0.15755239,-26.862387,36.476383,-0.08532808,-0.0018139911,0.027708799,11.987365,11.366207,22.955324,9.410729,0.0,0.0,0.0,0.0,0.0,0.0,876.34515,1644.3751,-201.0,1872.0327,1298.0356,-201.0,3100.8958,636.53107,-201.0,0 days 00:00:16.236116116,0 days 00:00:16.256116116,ID30_20ms.csv
0 days 00:00:00.140000,0 days 00:00:00.160000,answer1,0.1707397,-26.098501,35.276005,-0.07620826,-0.0027077806,0.03139991,12.864726,14.423401,24.249136,4.1531935,0.0,0.0,0.0,0.0,0.0,0.0,278.18616,1866.4102,-201.0,1419.3765,1272.1356,-201.0,2457.9705,940.5078,-201.0,0 days 00:00:16.256116116,0 days 00:00:16.276116116,ID30_20ms.csv
0 days 00:00:00.160000,0 days 00:00:00.180000,answer1,0.15844283,-27.409567,35.464146,-0.085046805,-0.0037558249,0.040319435,12.604828,13.063884,18.805025,4.325379,0.0,0.0,0.0,0.0,0.0,0.0,551.62054,1873.3617,-201.0,1650.226,1217.3883,-201.0,2813.1045,775.9785,-201.0,0 days 00:00:16.276116116,0 days 00:00:16.296116116,ID30_20ms.csv
0 days 00:00:00.180000,0 days 00:00:00.200000,answer1,0.14399134,-28.218048,36.716724,-0.11474252,-0.0032734387,0.029453347,10.549684,11.734184,17.779253,4.103552,0.0,0.0,0.0,0.0,0.0,0.0,574.52936,1750.9113,-201.0,1686.1226,1129.4825,-201.0,2870.7117,721.9864,-201.0,0 days 00:00:16.296116116,0 days 00:00:16.316116116,ID30_20ms.csv
