file,start,end,Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz
./voice_sample/asano.wav,0 days 00:00:00,0 days 00:00:00.025000,3.9912643,2.4930377,13.36778,0.05522154,0.0042393743,0.92113274,14.610002,-19.50031,2.6948493,-1.859713,35.16167,0.0,0.0,1.6846443,4.549707,9.549397,723.4961,1173.5172,-9.853788,1710.2764,916.39105,-1.621263,2862.2126,640.44165,-18.11342
./voice_sample/asano.wav,0 days 00:00:00.010000,0 days 00:00:00.035000,3.9878197,2.1606193,16.51174,0.056161802,0.005548576,1.8647846,15.250001,-17.992336,1.3880509,-3.0607045,35.18753,0.0,4.7732506,2.1699855,5.43854,11.952076,731.98663,1112.7423,-11.571872,1729.146,873.24286,-2.3860605,2871.6262,672.9135,-20.323881
./voice_sample/asano.wav,0 days 00:00:00.020000,0 days 00:00:00.045000,3.9035199,1.4967017,19.496035,0.05569336,0.005985821,2.4178355,15.701964,-15.44773,-2.2890146,-4.0157676,35.30949,0.014318306,3.4826767,2.8711557,6.118935,13.214668,757.4893,1067.6698,-12.426082,1749.0704,873.25653,-5.357233,2822.8923,680.22394,-21.323578
./voice_sample/asano.wav,0 days 00:00:00.030000,0 days 00:00:00.055000,3.042827,-1.6830667,22.657064,0.066371255,0.0014092884,1.994041,18.74251,-9.4066305,-8.781521,-5.1175447,35.51875,0.012537856,2.0233812,4.2056537,6.1417084,17.107204,849.04694,1009.9195,-11.259392,1780.8395,830.3505,-11.117798,2761.5627,691.12445,-25.017775
./voice_sample/asano.wav,0 days 00:00:00.040000,0 days 00:00:00.065000,2.5252988,-5.3484497,23.11779,0.069007166,-0.0031539968,1.4228698,18.66964,-2.2005289,-10.889497,-1.6491185,35.70696,0.009646919,0.95218706,4.335155,7.325933,18.771713,879.31006,1044.9725,-12.061347,1809.2582,886.95917,-15.800611,2732.323,727.46857,-26.947
./voice_sample/asano.wav,0 days 00:00:00.050000,0 days 00:00:00.075000,1.9435883,-8.316349,23.349165,0.0644713,-0.004370314,1.3626326,14.347095,6.8592415,-8.035087,7.844045,35.78787,0.009326059,0.9775158,4.4232473,8.26369,21.271671,901.91437,1051.1279,-75.72838,1804.236,868.1879,-78.854614,2763.1223,702.4844,-86.64698
./voice_sample/asano.wav,0 days 00:00:00.060000,0 days 00:00:00.085000,1.499876,-6.057388,17.674532,0.046300005,-0.004542194,1.1790199,4.4761157,13.166896,-5.333439,15.922271,0.0,0.0,0.0,0.0,0.0,0.0,765.37726,1163.6287,-138.9988,1676.2845,956.03046,-140.42244,2605.532,905.68066,-144.44002
./voice_sample/asano.wav,0 days 00:00:00.070000,0 days 00:00:00.095000,1.2784446,-1.0671347,10.65903,0.025477193,-0.00019390834,0.88296336,-8.108148,17.737013,-5.7600594,20.87348,0.0,0.0,0.0,0.0,0.0,0.0,816.8577,1195.212,-201.0,1699.2526,1311.8911,-201.0,2506.1423,1099.0023,-201.0
./voice_sample/asano.wav,0 days 00:00:00.080000,0 days 00:00:00.105000,1.2140468,5.2540417,1.972443,0.013835818,-9.95649e-05,0.44858158,-17.219183,17.151999,-10.833561,19.486158,0.0,0.0,0.0,0.0,0.0,0.0,681.7221,1218.0288,-201.0,1585.1129,1468.7178,-201.0,2343.4675,1324.9988,-201.0
./voice_sample/asano.wav,0 days 00:00:00.090000,0 days 00:00:00.115000,1.2180444,8.355054,-1.9263777,0.0020287682,0.0027194626,0.19285703,-21.818008,16.5348,-12.521098,20.111155,0.0,0.0,0.0,0.0,0.0,0.0,705.05096,1027.5153,-201.0,1610.3014,1380.2247,-201.0,2422.6663,1212.6699,-201.0
