start,end,label,Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz,original_start,original_end
0 days 00:00:00,0 days 00:00:00.020000,answer2,1.3648815,-2.9004648,24.017485,0.058140874,-0.0063380916,0.36325803,22.477354,-14.9140215,-30.01998,-0.38532686,36.854862,0.0,0.0,-6.239201,-6.528073,7.603189,646.10156,1549.0908,0.34735718,1402.5848,1698.6107,0.5843112,2261.5098,933.04663,-7.0835,0 days 00:00:05.367033700,0 days 00:00:05.387033700
0 days 00:00:00.010000,0 days 00:00:00.030000,answer2,1.1849335,-2.0625355,21.397104,0.0520979,-0.003603983,0.54369074,22.310144,-15.95612,-26.28118,1.6758257,39.0058,0.039987374,1.6384296,-2.920805,-2.602883,14.318217,644.9039,1533.9736,0.5907145,1502.1705,1610.1119,-3.46628,2288.531,1105.9725,-11.936097,0 days 00:00:05.377033700,0 days 00:00:05.397033700
0 days 00:00:00.020000,0 days 00:00:00.040000,answer2,0.9738739,-1.821232,18.83149,0.048624773,-0.0013008779,0.6845556,23.244986,-14.112514,-22.700731,1.1337147,41.350937,0.051509853,1.3955312,-0.15157604,2.4853354,26.002802,814.1519,1455.236,0.0,1740.5502,1286.2906,-6.75619,2765.9167,937.6763,-20.590052,0 days 00:00:05.387033700,0 days 00:00:05.407033700
0 days 00:00:00.030000,0 days 00:00:00.050000,answer2,0.84704286,-4.4265924,19.74842,0.061350483,-0.012282193,0.4738218,22.813345,-10.76316,-21.350746,-4.810084,41.558342,0.035360027,1.0791408,-1.2614366,3.017316,19.082983,599.898,1480.4108,3.7384927,1606.8668,1553.5303,-0.2515138,2286.2056,1197.9484,-9.507864,0 days 00:00:05.397033700,0 days 00:00:05.417033700
0 days 00:00:00.040000,0 days 00:00:00.060000,answer2,0.7533408,-5.591297,19.46579,0.06862801,-0.014769889,0.3898015,22.63642,-8.276301,-20.128622,-7.6377263,41.716007,0.030021606,1.8189644,-2.3029997,1.6057758,20.635391,570.1286,1422.5411,0.0,1580.2809,1361.1255,5.709452,2347.428,1117.6149,-9.10625,0 days 00:00:05.407033700,0 days 00:00:05.427033700
0 days 00:00:00.050000,0 days 00:00:00.070000,answer2,0.6751185,-5.950802,18.73691,0.074578434,-0.017579734,0.32612982,21.040277,-8.5806875,-22.082544,-9.212455,41.692993,0.0077550006,2.2735791,-2.8395414,-0.19835997,15.6902075,604.28644,1567.0356,0.0,1556.122,1414.4136,-60.184544,2372.22,1147.6476,-68.91518,0 days 00:00:05.417033700,0 days 00:00:05.437033700
0 days 00:00:00.060000,0 days 00:00:00.080000,answer2,0.617358,-4.4481616,19.129133,0.06865943,-0.011167171,0.23532487,21.424767,-7.6267853,-22.889067,-9.419803,0.0,0.0,0.0,0.0,0.0,0.0,614.90234,1509.3519,-104.749626,1498.855,1231.2896,-66.66525,2494.6887,1153.1539,-76.342964,0 days 00:00:05.427033700,0 days 00:00:05.447033700
0 days 00:00:00.070000,0 days 00:00:00.090000,answer2,0.5500019,-3.3501663,20.045212,0.06723379,-0.008429677,0.19284217,20.930372,-6.6900153,-24.970932,-10.249374,26.275173,0.0,0.0,0.8187727,10.168617,19.88136,621.993,1574.9095,-73.539894,1463.4908,1289.7186,-75.81517,2536.0725,1261.6261,-80.01505,0 days 00:00:05.437033700,0 days 00:00:05.457033700
0 days 00:00:00.080000,0 days 00:00:00.100000,answer2,0.53206086,-3.1926243,18.733131,0.050891977,-0.0030686327,0.1971098,20.081917,-4.670683,-15.408496,-5.0483665,26.293076,0.0,0.0,1.6334919,10.809868,20.279856,393.4957,1489.7299,-10.465202,1251.0914,1255.9774,-15.200081,2197.8684,1302.1813,-19.93519,0 days 00:00:05.447033700,0 days 00:00:05.467033700
0 days 00:00:00.090000,0 days 00:00:00.110000,answer2,0.6053675,-6.4185348,19.244215,0.06555157,-0.01081676,0.32451734,22.405874,-1.8856639,-7.3959217,-2.2759979,26.33953,0.0,0.0,3.5545928,11.690328,21.345251,412.95068,1383.3082,-10.661344,1273.6287,1188.6782,-18.814173,2263.2854,1115.038,-21.20604,0 days 00:00:05.457033700,0 days 00:00:05.477033700
