start,end,label,Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz,original_start,original_end
0 days 00:00:00,0 days 00:00:00.200000,answer1,1.4936558,-11.32479,22.941393,0.0064937323,-0.010106218,0.016868258,15.709496,13.77012,12.134532,2.5249882,0.0,0.0,0.0,0.0,0.0,0.0,1043.8333,1244.7424,-201.0,2059.4827,948.4145,-201.0,2905.4387,558.0489,-201.0,0 days 00:00:03.500500501,0 days 00:00:03.700500501
0 days 00:00:00.010000,0 days 00:00:00.210000,answer1,1.5171452,-11.168332,22.721418,0.0077284873,-0.0091376435,0.03438333,15.464493,13.477524,12.558318,2.763696,0.0,0.0,0.0,0.0,0.0,0.0,980.9394,1151.0765,-134.46565,1993.7642,909.4327,-137.21312,2849.0212,614.405,-137.6327,0 days 00:00:03.510500501,0 days 00:00:03.710500501
0 days 00:00:00.020000,0 days 00:00:00.220000,answer1,1.563251,-10.794583,22.143393,0.009600169,-0.0074509946,0.053343635,15.23582,12.581912,12.855113,3.353157,14.06027,0.0,0.0,-7.188693,4.4152355,22.632961,952.837,1129.0077,-69.375854,1969.1498,898.09064,-73.40296,2832.7139,638.95856,-73.822525,0 days 00:00:03.520500501,0 days 00:00:03.720500501
0 days 00:00:00.030000,0 days 00:00:00.230000,answer1,1.6309065,-10.15236,21.265543,0.010315431,-0.005504661,0.057940107,15.2710495,10.881825,12.504532,4.28404,14.151933,0.0,0.0,-7.0487456,5.145497,22.313194,951.69366,1139.524,-6.1270714,1958.34,881.6579,-11.337216,2831.5654,613.1484,-12.222531,0 days 00:00:03.530500501,0 days 00:00:03.730500501
0 days 00:00:00.040000,0 days 00:00:00.240000,answer1,1.7204027,-9.260726,20.021666,0.010518736,-0.0033970855,0.06362469,15.547726,8.575591,11.521457,5.2753816,14.491345,0.0,0.0,-6.810312,5.415989,23.025223,983.86945,1210.2368,-7.058329,1983.4073,896.0081,-11.132358,2854.1643,587.76416,-13.519946,0 days 00:00:03.540500501,0 days 00:00:03.740500501
0 days 00:00:00.050000,0 days 00:00:00.250000,answer1,1.8250885,-8.233544,18.809858,0.010277997,-0.0016899401,0.069088705,15.973063,6.0462394,10.113368,6.125538,14.887019,0.0,0.0,-8.384707,3.9770901,22.964752,1023.3498,1251.986,-4.916633,2000.4042,916.5993,-10.288785,2865.3782,588.18207,-13.645398,0 days 00:00:03.550500501,0 days 00:00:03.750500501
0 days 00:00:00.060000,0 days 00:00:00.260000,answer1,1.9347843,-7.220064,17.823532,0.011623728,-0.00079217507,0.07180357,16.437578,3.6405258,8.5335455,6.7896304,15.532059,0.0,0.0,-8.011979,2.4409006,22.12823,1044.8301,1377.868,-3.75877,1999.165,1000.7412,-10.585353,2885.383,615.8452,-13.001186,0 days 00:00:03.560500501,0 days 00:00:03.760500501
0 days 00:00:00.070000,0 days 00:00:00.270000,answer1,2.0386343,-6.3552094,17.00452,0.013632403,-0.00042202126,0.07266857,16.859478,1.6049887,7.0112596,7.3456655,15.914375,0.0,0.0,-8.104617,1.4651196,20.416359,1053.7689,1343.2279,-69.361855,1970.932,1150.6581,-74.57709,2820.9539,778.2789,-75.071075,0 days 00:00:03.570500501,0 days 00:00:03.770500501
0 days 00:00:00.080000,0 days 00:00:00.280000,answer1,2.1274245,-5.714563,16.22025,0.015966415,-0.000435602,0.07024247,17.199274,0.060886938,5.691732,7.880407,0.0,0.0,0.0,0.0,0.0,0.0,782.31476,1508.8114,-136.59335,1682.8204,1275.3687,-139.23082,2577.9578,936.90265,-138.7558,0 days 00:00:03.580500501,0 days 00:00:03.780500501
0 days 00:00:00.090000,0 days 00:00:00.290000,answer1,2.1943738,-5.322616,15.478149,0.017064445,-0.000549276,0.06680084,17.438938,-0.93926793,4.6514874,8.448528,0.0,0.0,0.0,0.0,0.0,0.0,580.65845,1567.9883,-201.0,1460.5956,1338.548,-201.0,2360.2654,1012.2127,-201.0,0 days 00:00:03.590500501,0 days 00:00:03.790500501
