start,end,label,Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz,original_start,original_end
0 days 00:00:00,0 days 00:00:00.100000,answer1,3.5339167,-8.850322,13.235695,0.056114797,-0.01196733,0.18377222,7.7780814,16.04788,26.318512,-0.043198507,18.163248,0.0,0.0,-4.238054,12.138972,12.823131,514.1455,2203.6213,25.499166,1561.8574,923.146,13.371647,2457.8984,966.9709,17.951391,0 days 00:00:05.672339006,0 days 00:00:05.772339006
0 days 00:00:00.010000,0 days 00:00:00.110000,answer1,3.203411,-10.790328,15.273193,0.053590745,-0.010322454,0.3716248,10.501414,15.67257,25.308931,1.1944476,17.824839,0.0,0.0,-3.3617837,11.620277,12.058665,570.80133,1611.725,21.543089,1571.3887,847.53815,10.683205,2379.357,845.95557,16.378992,0 days 00:00:05.682339006,0 days 00:00:05.782339006
0 days 00:00:00.020000,0 days 00:00:00.120000,answer1,2.7449906,-13.432605,18.850426,0.051555526,-0.007886413,0.5427286,14.8185425,14.882838,22.480436,2.64871,17.237158,0.0,0.0,-4.3389435,8.703275,14.512361,721.73004,1170.7114,16.315294,1680.4921,943.39746,9.456402,2415.8125,1006.4677,13.945872,0 days 00:00:05.692339006,0 days 00:00:05.792339006
0 days 00:00:00.030000,0 days 00:00:00.130000,answer1,2.3970852,-15.069661,23.159851,0.049098883,-0.005300317,0.5158961,19.266644,13.275185,17.329817,4.678017,17.700644,0.0,1.4950633,-5.224013,3.4880455,19.112572,964.07794,1098.8994,7.229714,1954.5972,870.97345,8.204546,2957.613,1139.0514,7.527128,0 days 00:00:05.702339006,0 days 00:00:05.802339006
0 days 00:00:00.040000,0 days 00:00:00.140000,answer1,2.2849247,-14.798118,26.755783,0.0474555,-0.0023392348,0.49176803,22.592016,10.622567,9.666576,8.900323,18.397306,0.0006292463,1.5265507,-5.9757404,-1.2842325,25.80158,1111.9642,1165.8925,2.8417523,2203.7312,893.3649,4.160399,3515.5676,1515.7826,0.14172935,0 days 00:00:05.712339006,0 days 00:00:05.812339006
0 days 00:00:00.050000,0 days 00:00:00.150000,answer1,2.44111,-12.724555,27.780085,0.04386725,-0.0002658655,0.47227526,23.955385,7.5014606,1.1533195,14.158897,19.203028,0.0006292463,1.5895253,-6.785502,-3.9676888,28.560621,1149.5199,1057.0094,5.948237,2352.6318,724.1734,-0.020211378,3930.6394,1472.0741,-4.345778,0 days 00:00:05.722339006,0 days 00:00:05.822339006
0 days 00:00:00.060000,0 days 00:00:00.160000,answer1,2.8321724,-9.996204,26.4723,0.040426202,-4.937562e-07,0.5515073,23.816797,4.712937,-5.959685,17.751554,18.827593,0.02176383,1.0662962,-5.542583,-4.968806,28.022575,1114.3478,1047.7925,5.314828,2246.5286,811.94135,-1.658116,3592.247,1276.9032,-3.102844,0 days 00:00:05.732339006,0 days 00:00:05.832339006
0 days 00:00:00.070000,0 days 00:00:00.170000,answer1,3.365516,-8.192801,24.991,0.041167393,-0.0015053373,0.7433465,23.699966,2.9144166,-9.308521,17.723536,18.409157,0.042898413,0.54306716,-4.1423564,-5.2459035,25.62075,1051.3981,1106.7643,7.126299,2069.99,993.86865,0.40189067,3167.0686,990.695,-0.99416345,0 days 00:00:05.742339006,0 days 00:00:05.842339006
0 days 00:00:00.080000,0 days 00:00:00.180000,answer1,3.9658403,-7.8965297,24.478098,0.04676409,-0.0029424636,1.0479374,24.61426,1.6533595,-8.720227,15.282867,18.432287,0.0616663,0.26963794,-1.1418297,-4.696138,23.571182,963.2674,1145.6868,6.044745,1852.557,1118.6053,5.5887465,2761.0496,799.38605,1.2885083,0 days 00:00:05.752339006,0 days 00:00:05.852339006
0 days 00:00:00.090000,0 days 00:00:00.190000,answer1,4.550593,-8.729271,24.992126,0.05624779,-0.0038060534,1.2781745,26.369062,0.36957967,-5.39059,12.094765,19.023148,0.053652894,0.6015618,-2.6402266,-3.420163,19.506798,969.1755,1346.4991,11.691266,1825.1396,1925.7275,12.918862,2510.1514,953.5555,6.411223,0 days 00:00:05.762339006,0 days 00:00:05.862339006
0 days 00:00:00.100000,0 days 00:00:00.200000,answer1,5.01811,-9.8458185,25.187342,0.0625585,-0.004374243,1.3177334,28.428413,-1.4105457,-0.8514724,9.078869,19.496872,0.048462845,0.9334857,-3.8621597,-0.9932988,19.302816,756.59784,1441.4447,18.179562,1658.2396,1870.332,17.72841,2438.1448,918.39813,9.214257,0 days 00:00:05.772339006,0 days 00:00:05.872339006
0 days 00:00:00.110000,0 days 00:00:00.210000,answer1,5.2801895,-10.758992,25.65013,0.06365862,-0.004886813,1.1660779,30.296076,-3.2679908,3.7364995,6.9906654,23.580122,0.0,1.0156096,-2.684269,-1.2944016,17.52199,594.55194,1530.9214,11.335067,1551.495,1901.8783,6.4951453,2321.0945,1480.4191,-0.5557073,0 days 00:00:05.782339006,0 days 00:00:05.882339006
0 days 00:00:00.120000,0 days 00:00:00.220000,answer1,5.290156,-11.446122,26.444702,0.061708275,-0.0051114936,1.0743898,31.614174,-4.1986985,7.3404403,6.3647423,27.462746,0.0,1.0156096,0.5176279,-2.3181093,20.065105,393.85513,1401.8368,3.2503893,1414.6632,1058.1372,-5.9120793,2425.441,1602.5426,-14.519569,0 days 00:00:05.792339006,0 days 00:00:05.892339006
0 days 00:00:00.130000,0 days 00:00:00.230000,answer1,5.0609355,-12.142499,27.80928,0.060854256,-0.00521137,1.1600637,32.410824,-3.5396693,9.49646,7.2570634,31.205826,0.0,1.0156096,3.4627159,-5.5858054,18.533045,404.88513,1346.5249,-6.775705,1444.4037,1022.54156,-17.235947,2442.2434,1613.328,-25.308752,0 days 00:00:05.802339006,0 days 00:00:05.902339006
0 days 00:00:00.140000,0 days 00:00:00.240000,answer1,4.666613,-13.277991,29.471842,0.061093405,-0.005258406,1.2828571,33.1246,-1.258552,10.534745,9.288408,30.954002,0.0,1.0156096,4.2632995,-6.82204,20.071589,421.68332,1407.7778,-4.2897353,1489.7798,1001.3106,-16.968697,2534.2136,1090.4952,-26.942513,0 days 00:00:05.812339006,0 days 00:00:05.912339006
0 days 00:00:00.150000,0 days 00:00:00.250000,answer1,4.243067,-15.109229,31.029434,0.060075995,-0.006991194,1.3119856,34.266148,1.9995912,11.32616,11.419896,30.709345,0.0,1.3497087,3.750947,-6.9458623,21.734756,427.8308,1446.2598,-2.7196932,1544.6505,948.37726,-17.636156,2671.052,848.20166,-28.998251,0 days 00:00:05.822339006,0 days 00:00:05.922339006
0 days 00:00:00.160000,0 days 00:00:00.260000,answer1,3.9638996,-17.06634,31.571314,0.058575828,-0.010682602,1.2653255,35.44695,4.930603,12.909981,12.301806,30.509232,0.30456436,1.2610841,3.5253696,-4.5369124,24.879715,427.569,1448.2511,-2.8539155,1592.7139,946.58984,-20.21601,2756.112,1107.9463,-32.270542,0 days 00:00:05.832339006,0 days 00:00:05.932339006
0 days 00:00:00.170000,0 days 00:00:00.270000,answer1,3.9571037,-17.904245,31.003416,0.056826543,-0.014793376,1.226078,35.794376,5.868213,15.369916,11.676074,30.369493,0.20460297,1.2486291,4.106423,-1.1545777,27.756027,467.71252,1406.1115,-5.275126,1630.2041,881.8326,-22.24945,2763.8406,1103.0349,-34.18573,0 days 00:00:05.842339006,0 days 00:00:05.942339006
0 days 00:00:00.180000,0 days 00:00:00.280000,answer1,4.204952,-17.061533,29.255865,0.05697471,-0.017335268,1.1605986,34.944874,4.300879,18.06828,10.186328,30.36605,0.024640217,1.7844483,5.564344,1.7149433,31.796,463.71878,1347.9849,-6.676933,1636.3398,870.88873,-25.571983,2786.389,1216.7374,-36.75799,0 days 00:00:05.852339006,0 days 00:00:05.952339006
0 days 00:00:00.190000,0 days 00:00:00.290000,answer1,4.572106,-15.095189,26.92923,0.055437196,-0.01721151,1.003615,33.266586,1.2964557,19.738928,9.185203,30.542328,0.03651787,2.820839,7.1292844,2.6877325,32.454975,466.26254,1339.8871,-6.1853104,1621.2133,855.6912,-25.673523,2697.9062,1041.6497,-35.952557,0 days 00:00:05.862339006,0 days 00:00:05.962339006
