file,start,end,Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz
./voice_sample/asano.wav,0 days 00:00:00,0 days 00:00:00.060000,6.54328,1.405851,20.67191,0.054933492,0.009947843,0.81492466,13.454231,-18.447664,-1.9020206,-7.22759,35.257053,0.0,0.0,5.5079474,6.2974133,16.121668,831.7703,1059.5094,-11.388257,1770.4258,829.7403,-6.3883343,2801.2952,717.4836,-24.654947
./voice_sample/asano.wav,0 days 00:00:00.010000,0 days 00:00:00.070000,5.792523,-0.15066202,22.345,0.05608208,0.0077005425,1.5137796,14.727216,-14.66727,-6.565743,-6.5090237,35.386738,0.0,4.7732506,6.4670625,6.4355903,17.225061,848.8768,1036.5685,-11.852084,1782.2672,836.23444,-10.542176,2776.1584,750.2869,-25.643549
./voice_sample/asano.wav,0 days 00:00:00.020000,0 days 00:00:00.080000,4.733904,-2.809613,24.090729,0.061289262,0.003862439,2.0937812,15.491958,-7.604749,-12.311244,-3.1996405,35.54667,0.014318306,3.4826767,7.248613,6.930992,19.123793,875.8784,1050.068,-12.620408,1811.5254,878.5358,-15.450264,2768.3748,811.4495,-27.602081
./voice_sample/asano.wav,0 days 00:00:00.030000,0 days 00:00:00.090000,3.8154266,-5.7162185,24.865425,0.06203716,-0.0006928355,1.8285109,13.618947,1.4685911,-14.967492,3.2056935,35.698277,0.012537856,2.0233812,6.0684686,7.291874,19.766764,912.9831,1085.2944,-12.289276,1848.4225,884.06445,-18.163664,2793.1697,785.50275,-28.83943
./voice_sample/asano.wav,0 days 00:00:00.040000,0 days 00:00:00.100000,3.0691783,-7.476419,23.079931,0.05278563,-0.0021181589,1.6160674,7.966699,10.599038,-13.56766,10.446143,35.43198,0.009646919,0.95218706,1.8898722,8.376533,17.938025,992.6888,1214.437,-14.624043,1909.1625,958.6225,-18.26278,2881.9746,748.12823,-27.906937
./voice_sample/asano.wav,0 days 00:00:00.050000,0 days 00:00:00.110000,2.5314658,-5.8169556,17.983473,0.035633575,-0.0016488214,1.3469082,-1.0395905,16.856619,-11.166438,15.996521,35.30442,0.009326059,0.9775158,-0.84745944,8.697887,16.311531,821.6038,1313.9928,-77.20992,1731.4364,969.6873,-78.843475,2698.2,784.9053,-84.94075
./voice_sample/asano.wav,0 days 00:00:00.060000,0 days 00:00:00.120000,2.2279112,-0.71806973,10.20047,0.014514812,0.0017207934,0.9139905,-10.886852,18.665289,-10.635268,18.79695,0.0,0.0,0.0,0.0,0.0,0.0,791.03,1241.2139,-140.4444,1694.6147,1059.1857,-139.76418,2636.681,848.874,-142.06377
./voice_sample/asano.wav,0 days 00:00:00.070000,0 days 00:00:00.130000,2.1325028,4.929027,3.4729176,0.0045528533,0.0033638552,0.4961964,-17.765371,17.057428,-11.751237,18.487059,0.0,0.0,0.0,0.0,0.0,0.0,598.0217,1088.7798,-201.0,1521.7788,1045.7313,-201.0,2427.7744,993.2834,-201.0
./voice_sample/asano.wav,0 days 00:00:00.080000,0 days 00:00:00.140000,2.2650745,4.206667,3.852937,0.00807065,0.0011042653,0.43796563,-16.55732,16.766693,-12.119705,14.183307,0.0,0.0,0.0,0.0,0.0,0.0,629.0327,913.23065,-201.0,1566.3134,987.4656,-201.0,2467.6582,988.33624,-201.0
./voice_sample/asano.wav,0 days 00:00:00.090000,0 days 00:00:00.150000,2.6582868,-1.7858554,10.756081,0.024626305,-0.0069634398,1.0009102,-8.456302,16.120632,-12.646172,7.735679,0.0,0.0,0.0,0.0,0.0,0.0,622.6978,1432.7035,-138.9934,1507.0787,962.7342,-139.37474,2634.677,1509.3116,-142.96729
./voice_sample/asano.wav,0 days 00:00:00.100000,0 days 00:00:00.160000,3.2596948,-9.363272,20.454283,0.044437304,-0.01483879,1.8680636,3.2064574,13.168476,-12.462337,0.48951164,41.68737,0.0,0.0,4.1035457,3.9006448,18.410507,736.9463,1523.7113,-76.87385,1617.7872,898.4487,-77.99729,2825.2744,1491.5758,-86.5471
