start,end,label,Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz,original_start,original_end
0 days 00:00:00,0 days 00:00:00.020000,answer1,0.23942737,-11.953557,22.223932,-0.0078983465,-0.007702703,0.028038261,16.72285,12.356532,7.0904603,4.3355856,0.0,0.0,0.0,0.0,0.0,0.0,491.46155,1503.9667,-201.0,1547.1318,991.8317,-201.0,2649.939,658.604,-201.0,0 days 00:00:03.503503504,0 days 00:00:03.523503504
0 days 00:00:00.010000,0 days 00:00:00.030000,answer1,0.24127746,-11.175781,21.816986,0.001679896,-0.0067513236,0.06130739,16.825285,11.357548,4.523473,4.7713017,0.0,0.0,0.0,0.0,0.0,0.0,740.6595,1320.4791,-201.0,1840.568,977.48505,-201.0,2896.787,726.8034,-201.0,0 days 00:00:03.513503504,0 days 00:00:03.533503504
0 days 00:00:00.020000,0 days 00:00:00.040000,answer1,0.24693227,-11.719978,22.079794,-0.0014153781,-0.009044482,0.11480243,17.895367,11.669671,3.1208847,4.7084064,0.0,0.0,0.0,0.0,0.0,0.0,751.8335,1419.8988,-134.62144,1815.1412,1089.5555,-138.22809,2854.88,870.9755,-139.6663,0 days 00:00:03.523503504,0 days 00:00:03.543503504
0 days 00:00:00.030000,0 days 00:00:00.050000,answer1,0.25256673,-12.372943,22.023413,-0.0030851525,-0.012891074,0.11448464,18.908134,11.973404,4.4713416,6.9890957,14.637202,0.0,0.0,-6.41118,6.1730895,21.627094,559.59406,1437.1254,-67.28456,1542.7941,1149.1389,-74.282616,2563.168,908.3618,-76.321495,0 days 00:00:03.533503504,0 days 00:00:03.553503504
0 days 00:00:00.040000,0 days 00:00:00.060000,answer1,0.25617966,-12.079452,21.45965,-0.0080736205,-0.013178609,0.107849516,18.046906,11.449966,6.491981,5.5171514,14.687363,0.0,0.0,-7.1883545,5.084927,20.989563,326.0957,1582.1146,0.5127551,1271.5472,1138.233,-8.168667,2297.3242,898.2129,-12.424428,0 days 00:00:03.543503504,0 days 00:00:03.563503504
0 days 00:00:00.050000,0 days 00:00:00.070000,answer1,0.2526407,-11.456815,21.691916,-0.0017076392,-0.012721942,0.08218542,17.796,11.681102,4.8643136,5.215482,16.9915,0.0,0.0,-6.9162064,2.2261813,19.667654,363.59814,1399.5791,-0.2612133,1317.6063,1067.6417,-6.6698112,2305.4292,834.981,-11.626523,0 days 00:00:03.553503504,0 days 00:00:03.573503504
0 days 00:00:00.060000,0 days 00:00:00.080000,answer1,0.253059,-10.160632,19.645128,0.008037137,-0.005872572,0.0801566,16.289831,10.63517,5.3473296,4.0186563,18.338993,0.0,0.0,-6.9493666,0.25997543,18.71605,594.1219,1353.5121,-67.59811,1566.121,995.72784,-70.61529,2643.8037,653.89154,-74.97134,0 days 00:00:03.563503504,0 days 00:00:03.583503504
0 days 00:00:00.070000,0 days 00:00:00.090000,answer1,0.25077507,-10.366948,19.114944,0.019382205,-0.007114518,0.07468164,17.070896,11.493443,5.352459,3.1718063,0.0,0.0,0.0,0.0,0.0,0.0,842.1214,1183.3441,-135.39542,1870.2042,845.7924,-136.72923,3006.9138,466.0741,-138.86841,0 days 00:00:03.573503504,0 days 00:00:03.593503504
0 days 00:00:00.080000,0 days 00:00:00.100000,answer1,0.2621288,-9.878551,17.703117,0.024822809,-0.005630883,0.07812686,15.702316,10.356721,10.54041,2.354073,0.0,0.0,0.0,0.0,0.0,0.0,1035.3832,1047.6703,-201.0,2137.2278,632.0172,-201.0,3348.9287,294.53928,-201.0,0 days 00:00:03.583503504,0 days 00:00:03.603503504
0 days 00:00:00.090000,0 days 00:00:00.110000,answer1,0.2731308,-11.751103,19.738907,0.027316622,-0.012880765,0.087240435,16.991854,14.080204,11.730046,0.7880512,0.0,0.0,0.0,0.0,0.0,0.0,1020.06036,1023.8001,-201.0,2147.408,511.88437,-201.0,3379.579,303.3719,-201.0,0 days 00:00:03.593503504,0 days 00:00:03.613503504
0 days 00:00:00.100000,0 days 00:00:00.120000,answer1,0.279062,-12.846039,20.274858,0.014386542,-0.012208228,0.09723917,15.038331,16.727228,15.829076,3.412234,0.0,0.0,0.0,0.0,0.0,0.0,758.2962,1113.7476,-201.0,1887.5498,550.4522,-201.0,3015.8757,396.9132,-201.0,0 days 00:00:03.603503504,0 days 00:00:03.623503504
0 days 00:00:00.110000,0 days 00:00:00.130000,answer1,0.27208948,-11.930054,18.639952,0.012392123,-0.012891628,0.100801885,13.430809,17.62886,16.590597,3.3425066,0.0,0.0,0.0,0.0,0.0,0.0,543.691,1179.7676,-201.0,1684.4229,537.04517,-201.0,2737.662,492.11264,-201.0,0 days 00:00:03.613503504,0 days 00:00:03.633503504
0 days 00:00:00.120000,0 days 00:00:00.140000,answer1,0.27219555,-9.286781,14.713798,0.019849066,-0.007715814,0.08311964,10.619462,16.116629,16.361355,1.4695606,0.0,0.0,0.0,0.0,0.0,0.0,316.2853,1253.6561,-201.0,1454.0885,669.04956,-201.0,2370.3445,603.88464,-201.0,0 days 00:00:03.623503504,0 days 00:00:03.643503504
0 days 00:00:00.130000,0 days 00:00:00.150000,answer1,0.27610868,-9.855275,14.97739,0.021900063,-0.009670281,0.103355415,12.260564,16.040365,17.16104,0.41295257,0.0,0.0,0.0,0.0,0.0,0.0,338.75406,1225.181,-201.0,1474.6266,682.91113,-201.0,2380.7761,681.8828,-201.0,0 days 00:00:03.633503504,0 days 00:00:03.653503504
0 days 00:00:00.140000,0 days 00:00:00.160000,answer1,0.27851915,-10.264218,14.657375,0.027389094,-0.0073759896,0.1062854,12.948594,15.83616,17.595892,0.29013672,0.0,0.0,0.0,0.0,0.0,0.0,644.94574,1256.79,-201.0,1694.0516,677.2469,-201.0,2721.0833,515.08026,-201.0,0 days 00:00:03.643503504,0 days 00:00:03.663503504
0 days 00:00:00.150000,0 days 00:00:00.170000,answer1,0.27365446,-12.022634,16.967329,0.030287037,-0.008633509,0.11995077,15.131694,14.400416,19.253426,4.8388715,0.0,0.0,0.0,0.0,0.0,0.0,998.54694,1064.0388,-201.0,2028.144,714.8589,-201.0,3076.3984,837.2078,-201.0,0 days 00:00:03.653503504,0 days 00:00:03.673503504
0 days 00:00:00.160000,0 days 00:00:00.180000,answer1,0.29362747,-9.9120455,15.994948,0.026042975,-0.0043035354,0.10463972,15.203736,9.985548,14.985709,6.75192,0.0,0.0,0.0,0.0,0.0,0.0,938.65625,1248.6597,-201.0,1952.2222,831.21796,-201.0,3013.9275,891.86816,-201.0,0 days 00:00:03.663503504,0 days 00:00:03.683503504
