start,end,label,F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14],original_start,original_end
0 days 00:00:00,0 days 00:00:00.040000,answer1,0.0,0.0,0.0,0.0,0.0,-100.0,0.218322,0.98834115,0.0017625326,0.06613756,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.00049985346,0.00014887795,344.53125,545.5078,918.75,2512.207,0.008336129,1083.1512,5.1368647,2.995538e+06,3.9343164,21.600464,-0.00015221689,0.8863626,0.0004077593,13.274211,4.06612,-2.8658206,-9.239097,-6.461027,-0.9607648,5.6563687,-0.802629,-3.5665123,-3.7193892,-3.0766137,-0.25911155,2.6069262,-4.0388355,0 days 00:00:06.806806807,0 days 00:00:06.846806807
0 days 00:00:00.010000,0 days 00:00:00.050000,answer1,0.0,0.65482175,0.0,0.0,0.0,-100.0,0.21274225,0.98834115,0.0019180793,0.06443688,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.0004474343,0.00014025118,272.7539,473.73047,918.75,2282.5195,0.01821895,1007.2246,4.906647,2.882128e+06,4.0780053,23.078611,-0.00016560349,0.8241393,0.00043171036,13.608967,6.3149467,-2.668111,-6.574772,-0.8371186,1.7982429,1.7278222,-5.2177606,-7.442782,-6.229338,-2.976755,3.3348598,5.0911555,-1.7537521,0 days 00:00:06.816806807,0 days 00:00:06.856806807
0 days 00:00:00.020000,0 days 00:00:00.060000,answer1,0.0,0.65806746,0.0,0.0,0.0,-100.0,0.20666637,0.98834115,0.0021779845,0.06575964,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.0007016505,0.00012161019,215.33203,401.95312,775.1953,1952.3438,0.026804829,879.70636,4.5053244,2.5987378e+06,4.6408305,29.555826,-0.00021046998,0.72779626,0.0006025157,14.705775,10.022996,-0.90211016,-2.8258572,-0.27886805,0.66184473,-1.7533969,-8.136313,-9.0477,-8.993098,-1.6739677,9.121032,7.690216,-0.51726335,0 days 00:00:06.826806807,0 days 00:00:06.866806807
0 days 00:00:00.030000,0 days 00:00:00.070000,answer1,0.0,0.657589,0.0,0.0,0.0,-100.0,0.20915286,0.98834115,0.0023021658,0.07237339,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.0007710774,0.00011630895,200.97656,358.88672,717.77344,1033.5938,0.026383886,690.6009,4.118212,1.7422444e+06,5.358297,36.871273,-0.00024779898,0.60588056,0.0006649462,16.707735,10.781899,-1.5222774,-2.429655,-2.0634074,0.6969872,1.3530636,-10.729927,-14.205678,-11.684906,0.19225037,7.082146,3.103734,-0.9841016,0 days 00:00:06.836806807,0 days 00:00:06.876806807
0 days 00:00:00.040000,0 days 00:00:00.080000,answer1,0.0,0.63816845,0.0,0.0,0.0,-100.0,0.19750488,0.9768788,0.0021120447,0.08106576,0.12771483,0.2827643,0.4200375,0.54229313,0.6527702,0.7597208,0.864453,0.9268372,0.9890506,1.0299895,1.0873646,1.1289392,1.1857085,1.2615509,1.3278819,1.3814634,1.3890482,1.4250735,1.4291528,1.3792764,1.3308849,1.2229738,1.0403603,0.89113855,0.73236364,0.59003425,0.0006678886,9.968316e-05,215.33203,344.53125,732.1289,1277.6367,0.023023387,776.6712,4.2680793,2.312163e+06,5.073415,33.78621,-0.00020847103,0.66416377,0.0005551158,15.949776,10.460256,-1.3569638,-1.8977748,-3.6482284,3.8848674,5.403375,-6.6815205,-11.729088,-12.151917,-3.742471,3.4815884,2.9127138,-3.9323902,0 days 00:00:06.846806807,0 days 00:00:06.886806807
0 days 00:00:00.050000,0 days 00:00:00.090000,answer1,0.0,0.6507236,0.0,0.0,0.0,-100.0,0.21009105,0.97385854,0.0019113893,0.08371126,0.12295335,0.28135765,0.41373584,0.5209392,0.6012456,0.7464207,0.9176569,0.94643044,1.0025759,1.0266582,1.0612918,1.0800962,1.1545316,1.3275151,1.3943139,1.4532076,1.4186345,1.4130211,1.4617134,1.3443176,1.2754097,1.1837045,0.98151094,0.8827281,0.7311621,0.57718736,0.0003485612,0.00020656416,258.39844,488.08594,976.1719,1751.3672,0.022175463,963.4756,4.8042617,2.5137608e+06,4.442078,28.086878,-0.00016797338,0.7916681,0.0003376076,14.703285,4.0316978,-0.5602243,-3.2231128,-6.852304,9.490003,8.578938,-5.190748,-17.605291,-17.456806,0.072265305,-1.9012877,-0.016128382,-2.9053414,0 days 00:00:06.856806807,0 days 00:00:06.896806807
0 days 00:00:00.060000,0 days 00:00:00.100000,answer1,0.0,0.6698993,0.0,0.0,0.0,-100.0,0.20842487,0.9783222,0.0019145355,0.079176106,0.114379376,0.26913413,0.39296845,0.4975938,0.5316296,0.7344759,0.9743066,1.0028425,1.0385145,1.0469079,1.021466,0.9960542,1.0931765,1.4684585,1.5352415,1.5774412,1.4568801,1.3931451,1.5468655,1.3356985,1.2130108,1.1402206,0.902378,0.8677024,0.7321338,0.5537502,0.00034560962,0.00021255756,315.8203,574.21875,976.1719,2052.832,0.020017648,1051.225,4.9661508,2.72916e+06,4.344031,26.898642,-0.00014913638,0.86359423,0.00033086375,14.331211,3.7591279,-0.79425484,-5.673839,-11.283822,8.553772,13.574994,-2.9982994,-22.523466,-17.070074,5.773046,0.8948579,0.22587593,-1.5407791,0 days 00:00:06.866806807,0 days 00:00:06.906806807
0 days 00:00:00.070000,0 days 00:00:00.110000,answer1,0.0,0.6817004,0.0,0.0,0.0,-100.0,0.2165535,0.9916331,0.0019872955,0.07067271,0.108814694,0.23603188,0.3645315,0.51034254,0.49492392,0.7317643,0.98963904,1.0810965,1.0844555,1.0797251,0.99328536,0.91943645,1.0669154,1.631373,1.6886387,1.6707643,1.4936272,1.3663774,1.6615659,1.3729792,1.1634302,1.1204624,0.8556821,0.8466115,0.7192697,0.530718,0.0005277905,0.00021994663,344.53125,602.9297,976.1719,1737.0117,0.018768875,989.9302,4.791235,2.1307778e+06,5.0445094,35.69186,-0.00018058393,0.8359602,0.0004310521,15.864034,3.0457332,-1.6636025,-7.4327683,-11.505658,3.4470932,11.64882,-5.8804226,-26.861544,-19.606009,12.06665,8.128034,2.8934953,5.2849984,0 days 00:00:06.876806807,0 days 00:00:06.916806807
0 days 00:00:00.080000,0 days 00:00:00.120000,answer1,0.0,0.6657401,0.0,0.0,0.0,-100.0,0.19845517,0.99108154,0.001996261,0.065381706,0.10836342,0.21321881,0.34814012,0.5648506,0.53856593,0.75427365,0.9210319,1.1399002,1.1058687,1.0992279,0.9830191,0.8731742,1.052423,1.7066408,1.7425133,1.6286732,1.4409056,1.3199098,1.690019,1.3667735,1.1370709,1.1487024,0.86185694,0.82669574,0.68615717,0.5101447,0.0006889499,0.00011160896,315.8203,473.73047,746.4844,1306.3477,0.018245334,845.1997,4.4485097,2.0971705e+06,5.4373,38.332153,-0.00017519713,0.7394529,0.00047354307,16.790005,7.6239905,-2.391216,-6.6376476,-6.7703834,-2.9604769,6.722882,-9.579852,-20.074787,-15.143829,8.950683,15.082486,5.0474052,4.881226,0 days 00:00:06.886806807,0 days 00:00:06.926806807
0 days 00:00:00.090000,0 days 00:00:00.130000,answer1,0.0,0.6543359,0.0,0.0,0.0,-100.0,0.19786811,0.9659727,0.0019957742,0.061791386,0.11570042,0.20527852,0.35641804,0.621013,0.6199627,0.7838089,0.8366151,1.1350596,1.0966412,1.0524286,0.9879629,0.89333636,1.0891277,1.5989447,1.5921059,1.4518784,1.3423615,1.2635694,1.5807651,1.2936912,1.1479015,1.1897557,0.92326736,0.8032458,0.6331473,0.5013036,0.00074046524,8.435464e-05,272.7539,430.66406,746.4844,961.8164,0.018885074,767.0281,4.351052,1.7772564e+06,5.7067933,41.635365,-0.0001932535,0.68427294,0.00045800084,18.035568,8.421604,-2.8757393,-5.9844365,-2.182422,-3.61928,3.4942734,-9.459882,-13.693503,-15.115382,-0.8636265,16.622307,7.241787,5.6024647,0 days 00:00:06.896806807,0 days 00:00:06.936806807
