start,end,label,Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz,original_start,original_end
0 days 00:00:00,0 days 00:00:00.025011338,answer1 ,0.41746083,-5.0377846,15.479625,-0.003575979,-0.015483449,0.02162194,14.326388,8.363393,-6.482506,-9.687403,0.0,0.0,0.0,0.0,0.0,0.0,904.5674,1421.7223,-201.0,1832.097,1641.2617,-201.0,2611.1433,907.03467,-201.0,0 days 00:00:02.369035702,0 days 00:00:02.394047040
0 days 00:00:00.010000,0 days 00:00:00.035011338,answer1 ,0.376008,-5.9545217,15.040919,-0.008741119,-0.014545857,0.046656504,12.735222,8.745949,-2.7231007,-5.86188,0.0,0.0,0.0,0.0,0.0,0.0,872.035,1446.7168,-201.0,1853.4877,1406.455,-201.0,2680.8176,863.9421,-201.0,0 days 00:00:02.379035702,0 days 00:00:02.404047040
0 days 00:00:00.020000,0 days 00:00:00.045011338,answer1 ,0.33723533,-8.186137,16.35147,-0.0033307977,-0.012206215,0.073145345,12.558472,11.0647135,0.30688572,-1.5780827,0.0,0.0,0.0,0.0,0.0,0.0,807.10175,1437.5851,-201.0,1831.7094,1195.3546,-201.0,2710.6013,846.85913,-201.0,0 days 00:00:02.389035702,0 days 00:00:02.414047040
0 days 00:00:00.030000,0 days 00:00:00.055011338,answer1 ,0.3473947,-13.203682,22.064821,0.005733716,-0.012129565,0.14727694,14.987584,15.4158745,6.7799745,3.671429,0.0,0.0,0.0,0.0,0.0,0.0,758.25366,1511.501,-201.0,1814.1542,1086.27,-201.0,2708.842,898.89233,-201.0,0 days 00:00:02.399035702,0 days 00:00:02.424047040
0 days 00:00:00.040000,0 days 00:00:00.065011338,answer1 ,0.41027233,-18.805046,28.163313,0.016517142,-0.013672449,0.2481544,20.393602,20.42584,10.511178,2.8045728,0.0,0.0,0.0,0.0,0.0,0.0,574.58136,1578.4056,-201.0,1605.7617,1119.6586,-201.0,2612.9387,810.5534,-201.0,0 days 00:00:02.409035702,0 days 00:00:02.434047040
0 days 00:00:00.050000,0 days 00:00:00.075011338,answer1 ,0.49325165,-24.029068,33.01082,0.020097254,-0.019832266,0.36785436,24.91236,23.967798,15.201698,1.2836248,0.0,0.0,0.0,0.0,0.0,0.0,611.95,1580.4445,-201.0,1682.392,1213.9762,-201.0,2568.8909,845.2193,-201.0,0 days 00:00:02.419035702,0 days 00:00:02.444047040
0 days 00:00:00.060000,0 days 00:00:00.085011338,answer1 ,0.5185308,-25.029093,34.85506,0.025918195,-0.020348134,0.4213573,25.586897,25.345572,16.832275,2.4376323,0.0,0.0,0.0,0.0,0.0,0.0,423.833,1542.3627,-201.0,1568.9175,1207.6476,-201.0,2559.0852,876.11914,-201.0,0 days 00:00:02.429035702,0 days 00:00:02.454047040
0 days 00:00:00.070000,0 days 00:00:00.095011338,answer1 ,0.50293154,-23.484823,34.447773,0.023967242,-0.01599825,0.37018442,23.496552,23.257696,16.386528,6.4504857,0.0,0.0,0.0,0.0,0.0,0.0,785.03973,1386.1564,-201.0,2023.9865,1253.1636,-201.0,3040.6252,1082.4584,-201.0,0 days 00:00:02.439035702,0 days 00:00:02.464047040
0 days 00:00:00.080000,0 days 00:00:00.105011338,answer1 ,0.48155618,-17.90431,31.179626,0.019895487,-0.0019063068,0.28462267,20.314438,17.26098,13.877339,11.039825,0.0,0.0,0.0,0.0,0.0,0.0,858.95636,1302.7103,-201.0,1949.0653,1370.1503,-201.0,3068.6511,952.95483,-201.0,0 days 00:00:02.449035702,0 days 00:00:02.474047040
0 days 00:00:00.090000,0 days 00:00:00.115011338,answer1 ,0.482227,-13.225677,26.841766,0.009653494,0.00069212634,0.17808646,17.844313,10.261244,10.615349,9.976339,0.0,0.0,0.0,0.0,0.0,0.0,857.1846,1319.9971,-201.0,1924.4916,1351.542,-201.0,2996.699,933.0524,-201.0,0 days 00:00:02.459035702,0 days 00:00:02.484047040
0 days 00:00:00.100000,0 days 00:00:00.125011338,answer1 ,0.57670873,-7.88936,19.827112,0.00469173,-0.0029819906,0.15885462,12.654658,5.8943615,5.4423585,6.332577,0.0,0.0,0.0,0.0,0.0,0.0,557.6175,1357.0267,-201.0,1488.1898,1310.7368,-201.0,2433.2468,871.8037,-201.0,0 days 00:00:02.469035702,0 days 00:00:02.494047040
0 days 00:00:00.110000,0 days 00:00:00.135011338,answer1 ,0.70030946,-4.7578874,13.262164,0.0048483247,-0.013206382,0.14575462,5.6450667,7.450365,1.2116235,5.318951,0.0,0.0,0.0,0.0,0.0,0.0,532.4282,1461.6636,-201.0,1540.5415,1065.9784,-201.0,2523.659,1076.6108,-201.0,0 days 00:00:02.479035702,0 days 00:00:02.504047040
0 days 00:00:00.120000,0 days 00:00:00.145011338,answer1 ,0.8353078,-2.376931,7.6683064,0.01309961,-0.017832879,0.1548701,1.1139987,9.17759,-0.7336991,5.671852,0.0,0.0,0.0,0.0,0.0,0.0,579.1734,1551.2559,-201.0,1615.0258,1201.0112,-201.0,2503.2314,2584.367,-201.0,0 days 00:00:02.489035702,0 days 00:00:02.514047040
0 days 00:00:00.130000,0 days 00:00:00.155011338,answer1 ,1.085709,-5.7626023,8.814645,0.04080435,-0.026003594,0.54090106,6.496262,9.134325,-1.3072404,3.7026603,0.0,0.0,0.0,0.0,0.0,0.0,560.89056,1579.9645,-201.0,1670.8379,1218.3817,-139.42204,2566.1787,2513.081,-137.43039,0 days 00:00:02.499035702,0 days 00:00:02.524047040
0 days 00:00:00.140000,0 days 00:00:00.165011338,answer1 ,1.4203639,-8.979136,10.469013,0.06042376,-0.03215912,0.8403874,14.165767,3.5985498,-1.9801402,-2.7965705,36.982418,0.0,0.0,3.6654816,-1.7808437,16.256212,567.8379,1568.8594,0.0,1707.1494,1167.0277,-75.21397,2785.163,2530.5725,-77.954094,0 days 00:00:02.509035702,0 days 00:00:02.534047040
0 days 00:00:00.150000,0 days 00:00:00.175011338,answer1 ,1.8451519,-10.973826,12.582611,0.0716868,-0.033113603,1.0973932,20.452856,-5.388329,-4.6053743,-9.458556,36.88631,0.0,0.0,3.973283,-3.320116,13.667806,710.0364,1356.9946,-0.044659376,1783.3842,975.4947,-11.769055,2876.544,955.1253,-14.682719,0 days 00:00:02.519035702,0 days 00:00:02.544047040
0 days 00:00:00.160000,0 days 00:00:00.185011338,answer1 ,2.065571,-8.646208,11.784108,0.06439983,-0.02331101,0.9539586,21.197258,-13.37308,-5.840224,-11.056239,36.496803,0.04270761,1.0993654,3.5925004,-4.364957,11.041154,852.7038,1330.8938,-1.1765114,1886.5602,876.4619,-9.534584,2959.4446,931.6872,-14.199489,0 days 00:00:02.529035702,0 days 00:00:02.554047040
0 days 00:00:00.170000,0 days 00:00:00.195011338,answer1 ,2.1529286,-5.33452,10.808403,0.05180974,-0.013803584,1.0531442,20.502804,-18.998255,-1.1779782,-8.86366,36.281822,0.04270761,1.0993654,2.3218248,-4.295,5.488062,803.4277,1357.2656,-66.91215,1840.9308,930.3594,-73.74267,2731.591,718.66595,-73.67579,0 days 00:00:02.539035702,0 days 00:00:02.564047040
0 days 00:00:00.180000,0 days 00:00:00.205011338,answer1 ,2.1208386,-3.053855,10.448697,0.04955827,-0.010662459,0.9553113,19.878693,-18.097298,3.0070705,-5.7818317,0.0,0.0,0.0,0.0,0.0,0.0,817.6104,1258.8171,-135.14674,1862.4471,906.27954,-137.18758,2826.6677,787.75665,-136.94716,0 days 00:00:02.549035702,0 days 00:00:02.574047040
0 days 00:00:00.190000,0 days 00:00:00.215011338,answer1 ,2.017649,-1.7197638,11.486462,0.041261286,-0.008861597,0.87557274,18.81296,-16.285019,5.1598887,-1.0166016,0.0,0.0,0.0,0.0,0.0,0.0,846.56195,1343.6787,-201.0,1832.8639,1177.8326,-201.0,2789.1863,922.7077,-201.0,0 days 00:00:02.559035702,0 days 00:00:02.584047040
0 days 00:00:00.200000,0 days 00:00:00.225011338,answer1 ,1.7416388,-3.0829887,14.963158,0.04007788,-0.012564037,0.65254277,19.473425,-12.482423,1.8493962,0.9827742,0.0,0.0,0.0,0.0,0.0,0.0,849.09766,1378.9967,-138.5594,1772.6383,1211.0243,-139.29787,2754.701,930.81415,-141.08955,0 days 00:00:02.569035702,0 days 00:00:02.594047040
0 days 00:00:00.210000,0 days 00:00:00.235011338,answer1 ,1.3905958,-5.753699,17.569181,0.04083732,-0.017540032,0.5648989,20.430216,-9.655047,-0.09065626,0.9224022,34.430397,0.0,0.0,2.9406772,-9.178159,7.0573993,896.3684,1479.107,-75.728615,1765.4487,1326.8007,-78.22701,2711.312,814.7409,-81.754166,0 days 00:00:02.579035702,0 days 00:00:02.604047040
0 days 00:00:00.220000,0 days 00:00:00.245011338,answer1 ,1.0814433,-8.425303,18.206003,0.041339625,-0.025344724,0.41476312,21.485117,-6.221767,-0.15493017,-1.2793955,34.499653,0.0,1.1502912,3.5486488,-9.51764,6.526056,867.7591,1332.4073,-14.013782,1802.4517,994.0999,-18.913713,2758.452,650.3678,-23.56513,0 days 00:00:02.589035702,0 days 00:00:02.614047040
0 days 00:00:00.230000,0 days 00:00:00.255011337,answer1 ,0.89645267,-11.912753,20.61592,0.043014023,-0.028394958,0.28822553,22.578508,-1.7418852,1.738933,-1.635857,35.267284,0.007961039,1.1945525,4.955182,-6.7085814,7.6973624,867.0861,1251.0487,-15.074421,1866.0133,877.5603,-23.383171,2849.208,744.3991,-25.708153,0 days 00:00:02.599035702,0 days 00:00:02.624047039
0 days 00:00:00.240000,0 days 00:00:00.265011338,answer1 ,0.8007675,-14.509425,23.293152,0.035227325,-0.026537007,0.25173816,22.952202,2.6869402,5.853125,-2.3115776,36.271694,0.033637498,1.1280314,6.6805253,-0.8140027,11.05593,896.4502,1313.0043,-21.368277,1944.2057,866.79767,-28.117563,2878.3665,814.59283,-28.707071,0 days 00:00:02.609035702,0 days 00:00:02.634047040
0 days 00:00:00.250000,0 days 00:00:00.275011338,answer1 ,0.75583154,-17.65479,27.557562,0.032131124,-0.02551934,0.31928512,21.365166,10.77016,10.747761,-5.722784,37.61699,0.059313964,0.9729874,7.8542557,8.25214,16.043238,964.56036,1394.3926,-28.964457,2024.3018,954.6988,-32.652355,3059.6287,1027.5968,-33.050022,0 days 00:00:02.619035702,0 days 00:00:02.644047040
0 days 00:00:00.260000,0 days 00:00:00.285011338,answer1 ,0.7494693,-20.300352,29.317884,0.018182233,-0.02618578,0.36212698,20.578028,15.316747,16.508003,-8.519536,38.61665,0.17077346,1.1714194,8.266144,14.881981,18.394663,1036.2568,1412.516,-35.351715,2063.3022,1124.4374,-34.88181,3045.1775,1108.5814,-35.814243,0 days 00:00:02.629035702,0 days 00:00:02.654047040
0 days 00:00:00.270000,0 days 00:00:00.295011338,answer1 ,0.7210593,-23.268198,32.11208,0.018995369,-0.02851055,0.46789178,21.063538,19.659243,19.346994,-11.798587,39.622982,0.1748705,1.5000906,7.7566066,19.953863,18.950426,999.1436,1357.0675,-38.27294,2057.4905,1044.8011,-37.58357,3149.834,1219.5425,-37.056305,0 days 00:00:02.639035702,0 days 00:00:02.664047040
0 days 00:00:00.280000,0 days 00:00:00.305011338,answer1 ,0.6200574,-23.778854,32.082962,0.030074397,-0.031193936,0.56807697,22.099205,18.574648,18.847809,-15.808362,40.097443,0.21981055,1.8411641,7.4920187,21.429882,18.212996,701.1663,1622.6743,-92.3916,1709.5426,1182.3119,-92.36208,2793.5574,1077.8008,-90.90238,0 days 00:00:02.649035702,0 days 00:00:02.674047040
0 days 00:00:00.290000,0 days 00:00:00.315011338,answer1 ,0.52269036,-22.52522,31.949125,0.047956053,-0.030410593,0.48516682,23.152405,15.881157,13.418321,-18.48289,0.0,0.0,0.0,0.0,0.0,0.0,706.6118,1572.1998,-147.38431,1740.8473,1092.1422,-147.3653,2860.4924,1152.9144,-145.9056,0 days 00:00:02.659035702,0 days 00:00:02.684047040
